timestamp,T_drybulb_C,"detached, '[1984 , 2011]', 1","detached, '>2011', 1","detached, '[1946 , 1983]', 1","detached, '<1946', 1","detached, '[1984 , 2011]', 2","detached, '>2011', 2","detached, '[1946 , 1983]', 2","detached, '<1946', 2","semi-detached, '[1946 , 1983]', 2","semi-detached, '[1984 , 2011]', 2","semi-detached, '>2011', 2","semi-detached, '<1946', 2","row, '[1946 , 1983]', 2","row, '[1984 , 2011]', 2","row, '>2011', 2","row, '<1946', 2","semi-detached, '[1946 , 1983]', 1","semi-detached, '[1984 , 2011]', 1","semi-detached, '>2011', 1","semi-detached, '<1946', 1"
9/1/2021 18:00,0.7666666666666666,20.87789165,20.60889236,20.87155277,20.69892086,20.95326648,20.63333333,20.85131241,20.5328,21.77372881,21.5451462,21.34362606,21.61956522,21.90232558,21.82987013,21.60648148,22.04444444,21.68252595,21.46170213,21.17213115,21.59130435
9/1/2021 19:00,0.7333333333333334,19.41661786,18.96692668,19.59746438,19.44004796,19.54260745,19.1184,19.62814289,19.29691429,20.84053672,20.43614035,19.94135977,20.77173913,21.11104651,20.85,20.26018519,21.43555556,20.71366782,20.30974244,19.70601093,20.66666667
9/1/2021 20:00,0.6666666666666666,17.75966325,17.20655226,18.12820575,18.12529976,17.95673352,17.55213333,18.25500296,18.0568,19.52725989,19.03473684,18.59291785,19.59637681,19.82674419,19.4711039,18.69907407,20.23333333,19.38304498,18.89652856,18.27131148,19.44275362
9/1/2021 21:00,0.3333333333333333,16.72353587,16.17769111,17.01989858,17.05275779,16.86381089,16.50026667,17.10895994,16.96308571,18.0549435,17.7805848,17.61104816,17.97971014,18.2744186,18.03798701,17.66296296,18.39481481,17.94913495,17.67581187,17.2863388,17.95869565
9/1/2021 22:00,-0.533333333,16.54136164,15.99453978,16.74387829,16.76223022,16.6786533,16.2608,16.86297612,16.65325714,17.99562147,17.57590643,17.40169972,17.82246377,18.17209302,17.96201299,17.55092593,18.39481481,17.88131488,17.48275476,17.11721311,17.7615942
9/1/2021 23:00,-0.866666667,15.28938507,14.75694228,15.55952668,15.63752998,15.44567335,15.01586667,15.72159068,15.56045714,17.05324859,16.43111111,15.99235127,16.97681159,17.19883721,16.90357143,16.17685185,17.76148148,16.92266436,16.33706607,15.76420765,16.7557971
9/2/2021 0:00,-1.8,15.0375549,14.4324493,15.25006037,15.25551559,15.17154728,14.7156,15.41829485,15.152,16.75381356,16.10526316,15.81473088,16.61521739,16.91744186,16.64772727,16.03611111,17.34740741,16.62750865,16.02519597,15.52404372,16.5
9/2/2021 1:00,-2.533333333,13.69213031,13.22620905,13.95706351,14.08860911,13.81767908,13.4776,14.10572331,14.04114286,15.1490113,14.63730994,14.30878187,15.10144928,15.24244186,14.98733766,14.4037037,15.71259259,15.04619377,14.57245241,14.12677596,14.90362319
9/2/2021 2:00,-3.233333333,13.0351757,12.66599064,13.29041294,13.44100719,13.14054441,12.85226667,13.41561082,13.41748571,14.3049435,13.82725146,13.49320113,14.26521739,14.33197674,14.11168831,13.56111111,14.84592593,14.2216263,13.77715566,13.35437158,14.04637681
9/2/2021 3:00,-4.933333333,12.24992679,11.95819033,12.46652982,12.63069544,12.33444126,12.09906667,12.57114664,12.62605714,13.30070621,12.8994152,12.58328612,13.25144928,13.30290698,13.11623377,12.63333333,13.77777778,13.23685121,12.85173572,12.47103825,13.04782609
9/2/2021 4:00,-6.066666667,11.48645681,11.23603744,11.68365129,11.88333333,11.55148997,11.34306667,11.77708703,11.888,12.33206215,12.01497076,11.74164306,12.24927536,12.29069767,12.14383117,11.77592593,12.71037037,12.28719723,11.98824188,11.69098361,12.04710145
