timestamp,A_Pre1945,B_19461983,C_19842010,D_Post2011,Average of temperatureatmospherique
1/3/2020 21:00,3.952,2.826569492,2.617226667,2.091125581,-17.56666667
1/3/2020 22:00,4.0154,2.734149153,2.8152,2.254716279,-18.4
1/3/2020 23:00,4.2458,2.68999322,2.603786667,1.811106977,-19.4
1/4/2020 0:00,3.2829,2.602616949,2.270453333,1.882939535,-18.76666667
1/4/2020 1:00,3.9822,2.455586441,2.549173333,1.91307907,-18.83333333
1/4/2020 2:00,4.0093,2.567288136,2.241066667,1.833097674,-17.43333333
1/4/2020 3:00,3.9265,2.673091525,2.331093333,1.857655814,-16.1
1/4/2020 4:00,4.2785,2.471430508,2.589653333,2.101897674,-15.53333333
1/4/2020 5:00,4.159,2.328711864,2.78352,1.8048,-15.36666667
1/4/2020 6:00,4.4732,2.711755932,2.63808,1.902530233,-14.53333333
1/4/2020 7:00,4.8388,2.847722034,2.47776,2.369023256,-13.63333333
1/4/2020 8:00,4.5661,2.653138983,2.39328,2.347534884,-12.83333333
1/4/2020 9:00,3.6385,2.671972881,2.483146667,2.241767442,-11.46666667
1/4/2020 10:00,4.5175,2.706040678,2.237333333,2.093190698,-10.5
1/4/2020 11:00,4.0802,2.960440678,2.728533333,2.516316279,-9.533333333
1/4/2020 12:00,5.0085,2.835620339,2.16064,2.35144186,-8.666666667
1/4/2020 13:00,3.8147,2.850061017,1.839253333,2.170939535,-7.8
1/4/2020 14:00,4.1648,2.813023729,2.35072,2.260744186,-7.2
1/4/2020 15:00,3.3919,2.543816949,2.67424,2.152911628,-6.6
1/4/2020 16:00,4.5698,2.750461017,2.390506667,2.5608,-6.166666667
1/4/2020 17:00,4.0426,2.928711864,2.540053333,3.01227907,-5.7
1/4/2020 18:00,4.8162,2.751010169,2.38016,2.124725581,-5.233333333
1/4/2020 19:00,4.4207,2.40980339,2.508533333,2.280893023,-4.933333333
1/4/2020 20:00,3.5546,2.503342373,2.26512,2.204204651,-4.833333333
1/4/2020 21:00,3.0571,2.704454237,2.186506667,1.929488372,-4.633333333
1/4/2020 22:00,2.6784,2.258847458,2.170026667,1.616595349,-4.5
1/4/2020 23:00,2.5788,2.212189831,1.80048,1.666716279,-5.066666667
1/5/2020 0:00,2.8515,2.266027119,1.783466667,1.724818605,-5.233333333
1/5/2020 1:00,3.2916,1.927749153,1.666506667,1.567144186,-5.233333333
1/5/2020 2:00,2.7185,2.043559322,1.422346667,1.520037209,-5.033333333
1/5/2020 3:00,2.9556,1.86280678,1.748533333,1.643609302,-4.666666667
1/5/2020 4:00,4.4553,1.998162712,1.492693333,1.448372093,-4.766666667
1/5/2020 5:00,3.1934,2.245932203,2.116213333,1.488,-5.1
1/5/2020 6:00,3.5413,2.265681356,1.966613333,1.652762791,-4.566666667
1/5/2020 7:00,2.973,2.209667797,1.987466667,1.706623256,-5.566666667
1/5/2020 8:00,3.2895,2.328020339,1.83056,1.804074419,-5.7
1/5/2020 9:00,3.4783,2.366115254,1.789333333,1.558548837,-5.266666667
1/5/2020 10:00,3.1514,2.407769492,1.559573333,1.655386047,-4.8
1/5/2020 11:00,2.7816,2.255349153,1.72336,1.891423256,-3.766666667
1/5/2020 12:00,2.6154,1.938244068,1.593173333,1.434586047,-2.9
1/5/2020 13:00,3.7018,2.117410169,1.202666667,1.378046512,-2.1
1/5/2020 14:00,3.1443,2.048277966,1.680746667,1.616093023,-1.8
1/5/2020 15:00,3.7442,2.270664407,1.597706667,1.735702326,-1.5
1/5/2020 16:00,4.086,2.162522034,2.2784,2.165302326,-1.633333333
1/5/2020 17:00,2.9019,2.318664407,2.259893333,2.005786047,-1.433333333
1/5/2020 18:00,3.0216,2.142874576,2.542826667,1.918102326,-1.133333333
1/5/2020 19:00,3.1534,2.616894915,1.970933333,2.04055814,-1.033333333
1/5/2020 20:00,3.0251,2.169233898,1.860053333,1.884446512,-1.2
1/5/2020 21:00,2.8433,2.252257627,2.560693333,1.888018605,-1.366666667
1/5/2020 22:00,3.1269,1.921708475,2.006346667,1.189004651,-1.1
1/5/2020 23:00,2.9237,1.852555932,1.649333333,1.032055814,-0.566666667
1/6/2020 0:00,2.2267,1.841552542,1.301706667,1.102716279,-0.533333333
